Date,Price,Open,High,Low,Vol.,Change %,Pred,new
"Jul 17, 2018",29757,30102,30120,29740,9.28K,-1.15%,740.0,35.21721587088177
"Jul 18, 2018",29799,29999,29999,29671,7.92K,0.14%,912.0,129.41498432813023
"Jul 19, 2018",29913,29671,29968,29624,8.40K,0.38%,375.0,589.3559276262495
"Jul 20, 2018",29957,29788,29977,29767,7.07K,0.15%,233.0,380.3404105217196
"Jul 23, 2018",29914,29922,30043,29862,7.10K,-0.14%,103.0,173.3151831759424
"Jul 24, 2018",29912,29860,29978,29780,7.69K,-0.01%,306.0,250.87763599731258
"Jul 25, 2018",29959,29867,30035,29835,7.58K,0.16%,144.0,292.8312384782985
"Jul 26, 2018",29836,29912,29952,29816,5.77K,-0.41%,192.0,60.09122618728361
"Jul 27, 2018",29805,29960,29960,29682,7.53K,-0.10%,802.0,124.15201131999129
"Jul 30, 2018",29755,29726,29782,29700,4.90K,-0.17%,106.0,111.15185185185328
"Jul 31, 2018",29638,29730,29740,29561,6.63K,-0.39%,482.0,87.46625621596105
"Aug 01, 2018",29462,29591,29670,29441,2.14K,-0.59%,263.0,100.16334363642454
"Aug 02, 2018",29520,29532,29638,29477,0.92K,0.20%,90.0,149.23486107813002
"Aug 03, 2018",29800,29520,29900,29425,0.11K,0.95%,560.0,761.0535259133394
"Aug 06, 2018",29563,29656,29656,29538,4.02K,-0.80%,286.0,25.099871352154878
"Aug 07, 2018",29534,29604,29668,29520,5.98K,-0.10%,132.0,78.07018970189529
"Aug 08, 2018",29544,29560,29630,29500,6.45K,0.03%,138.0,114.19389830508591
"Aug 09, 2018",29605,29565,29665,29529,5.58K,0.21%,124.0,176.3500287852621
"Aug 10, 2018",29706,29625,29744,29540,7.31K,0.34%,383.0,286.146377792822
"Aug 13, 2018",29665,29750,29836,29644,7.72K,-0.14%,168.0,107.13601403319261
"Aug 14, 2018",29664,29665,29740,29575,4.99K,-0.00%,283.0,164.49653423499694
"Aug 16, 2018",29275,29615,29615,29222,10.27K,-1.31%,892.0,53.712784888099115
"Aug 17, 2018",29275,29291,29375,29184,6.00K,0.00%,312.0,175.59556606359547
"Aug 20, 2018",29435,29388,29459,29350,5.66K,0.55%,175.0,156.31567291311873
"Aug 21, 2018",29542,29460,29565,29436,6.27K,0.36%,155.0,211.46453322462185
"Aug 22, 2018",29627,29450,29733,29450,4.61K,0.29%,71.0,461.7008828522921
"Aug 23, 2018",29576,29666,29666,29490,5.98K,-0.17%,524.0,86.51325873177484
"Aug 24, 2018",29882,29550,29900,29550,9.03K,1.03%,314.0,685.9323181049076
"Aug 27, 2018",29973,29930,30045,29863,6.67K,0.30%,239.0,225.67039480293167
"Aug 28, 2018",29981,30015,30170,29951,6.78K,0.03%,33.0,185.21935828519784
"Aug 29, 2018",30144,29977,30168,29977,6.08K,0.54%,143.0,359.0640491043123
"Aug 30, 2018",30131,30110,30269,30082,6.31K,-0.04%,-5.0,208.30460075792868
"Aug 31, 2018",30116,30224,30298,30055,5.78K,-0.05%,386.0,135.49319580768497
"Sep 03, 2018",30327,30075,30448,30062,1.44K,0.70%,183.0,641.402634555252
"Sep 04, 2018",30221,30238,30300,30154,0.17K,-0.35%,240.0,129.32440140611652
"Sep 05, 2018",30310,30257,30494,30250,0.05K,0.29%,-103.0,297.483966942149
"Sep 06, 2018",30565,30366,30693,30366,14.80K,0.84%,71.0,528.142955937561
"Sep 07, 2018",30509,30643,30643,30405,9.44K,-0.18%,684.0,104.81407663213396
"Sep 10, 2018",30725,30549,30748,30526,11.42K,0.71%,245.0,399.4472253161257
"Sep 11, 2018",30732,30660,30744,30559,11.40K,0.02%,464.0,258.0473183022986
"Sep 12, 2018",30664,30682,30779,30443,15.88K,-0.22%,823.0,320.4391814210176
"Sep 13, 2018",30470,30576,30690,30450,6.63K,-0.63%,178.0,134.15763546798192
"Sep 14, 2018",30453,30501,30648,30401,11.82K,-0.06%,157.0,199.4224861024304
"Sep 17, 2018",30778,30509,30800,30509,13.77K,1.07%,247.0,562.5657674784488
"Sep 18, 2018",30811,30710,30925,30652,11.96K,0.11%,219.0,375.41612292835634
"Sep 19, 2018",30649,30821,30936,30634,13.10K,-0.53%,289.0,130.14787491023162
"Sep 20, 2018",30623,30700,30700,30585,3.97K,-0.08%,306.0,38.14288049697643
"Sep 21, 2018",30609,30731,30910,30455,15.51K,-0.05%,681.0,335.3007716302745
"Sep 24, 2018",30862,30620,30899,30620,10.49K,0.83%,205.0,523.2050293925531
"Sep 25, 2018",30838,30821,30864,30755,7.69K,-0.08%,255.0,126.29416355064312
"Sep 26, 2018",30608,30824,30830,30587,9.12K,-0.75%,510.0,27.166835583746433
"Sep 27, 2018",30356,30738,30738,30321,10.28K,-0.82%,904.0,35.481349559711816
"Sep 28, 2018",30479,30398,30520,30264,8.85K,0.41%,576.0,338.81866243721737
"Oct 01, 2018",30614,30399,30660,30376,2.22K,0.44%,261.0,501.22517777192485
"Oct 03, 2018",31025,30890,31168,30889,0.19K,1.34%,-4.0,415.2283984589994
"Oct 04, 2018",31136,31072,31164,31015,0.04K,0.36%,264.0,213.5812993712716
"Oct 05, 2018",31233,31101,31288,30985,0.07K,0.31%,541.0,437.42517347103416
"Oct 08, 2018",31096,31369,31389,31083,9.96K,-0.44%,578.0,33.12797992471678
"Oct 09, 2018",31161,31200,31275,31115,7.31K,0.21%,187.0,121.23654186083876
"Oct 10, 2018",31247,31235,31265,31151,6.58K,0.28%,330.0,126.35132098487884
"Oct 11, 2018",31793,31300,31815,31250,17.38K,1.75%,671.0,1067.817439999999
"Oct 12, 2018",31670,31699,31720,31574,10.61K,-0.39%,421.0,117.44390954582924
"Oct 15, 2018",31877,31723,32075,31723,14.31K,0.65%,-44.0,507.7087917284006
"Oct 16, 2018",31701,31877,31957,31680,10.71K,-0.55%,356.0,101.18361742424169
"Oct 17, 2018",31702,31670,31839,31635,8.63K,0.00%,35.0,236.4320531057383
"Oct 18, 2018",31885,31670,31909,31638,5.54K,0.58%,319.0,488.1157152790948
"Oct 19, 2018",31737,31805,31867,31703,7.59K,-0.46%,210.0,96.17588240860641
"Oct 22, 2018",31729,31738,31749,31641,6.73K,-0.03%,359.0,99.30036977339478
"Oct 23, 2018",31871,31721,32053,31721,13.47K,0.45%,-32.0,483.5699378960308
"Oct 24, 2018",31723,31820,31844,31585,9.82K,-0.46%,722.0,163.1316131074891
"Oct 25, 2018",31683,31800,31912,31663,9.54K,-0.13%,202.0,132.15728136942198
"Oct 26, 2018",31764,31779,31993,31725,13.31K,0.26%,-28.0,253.3294562647752
"Oct 29, 2018",31730,31847,31847,31692,6.67K,-0.11%,386.0,38.18585131894361
"Oct 30, 2018",31725,31755,31789,31651,5.96K,-0.02%,322.0,108.32264383431902
"Oct 31, 2018",31631,31650,31780,31590,5.67K,-0.30%,72.0,171.24659702437566
"Nov 01, 2018",31783,31671,31818,31619,1.58K,0.48%,285.0,312.0321642050658
"Nov 02, 2018",31737,31737,31999,31530,0.54K,-0.14%,566.0,472.0790675547105
"Nov 05, 2018",31783,31785,31898,31630,0.18K,0.14%,503.0,267.2963642111936
"Nov 06, 2018",31657,31718,31869,31641,9.16K,-0.40%,35.0,167.11529344837254
"Nov 07, 2018",31602,31660,31678,31530,1.80K,-0.17%,386.0,90.33796384395828
"Nov 08, 2018",31408,31551,31551,31234,6.11K,-0.61%,982.0,175.7659601716077
"Nov 09, 2018",31023,31302,31383,30965,10.71K,-1.23%,709.0,139.78294849023223
"Nov 12, 2018",31014,31106,31178,30975,7.77K,-0.03%,268.0,111.2555932203395
"Nov 13, 2018",30778,31110,31110,30756,8.28K,-0.76%,752.0,22.253218884121452
"Nov 14, 2018",30838,30700,30867,30620,7.55K,0.19%,429.0,386.7585238406282
"Nov 15, 2018",30831,30830,30939,30753,8.71K,-0.02%,201.0,187.47175885279648
"Nov 16, 2018",31017,30856,31158,30830,10.10K,0.60%,124.0,490.9894907557573
"Nov 19, 2018",30888,31068,31068,30785,8.15K,-0.42%,772.0,103.94685723566728
"Nov 20, 2018",30830,30811,30994,30800,8.35K,-0.19%,-101.0,213.1889610389626
"Nov 21, 2018",30839,30800,30910,30750,7.74K,0.03%,168.0,199.4630894308939
"Nov 22, 2018",30613,30852,30899,30555,9.81K,-0.73%,663.0,105.6529864179356
"Nov 23, 2018",30513,30551,30566,30427,4.66K,-0.33%,405.0,101.3928747493992
"Nov 26, 2018",30574,30472,30672,30470,7.68K,0.20%,12.0,304.6894650475879
"Nov 27, 2018",30423,30585,30648,30389,7.86K,-0.49%,397.0,97.28977590575596
"Nov 28, 2018",30457,30400,30593,30270,8.40K,0.11%,441.0,381.9954079947129
"Nov 29, 2018",30253,30399,30399,30210,6.69K,-0.67%,464.0,43.269016881826246
"Nov 30, 2018",30186,30233,30320,30155,7.63K,-0.22%,131.0,118.16962361134209
"Dec 03, 2018",30787,30322,30850,30257,1.60K,1.99%,662.0,1068.3873483821917
"Dec 04, 2018",30964,30874,31085,30874,0.08K,0.57%,-31.0,301.6150806503865
"Dec 05, 2018",30926,30830,30970,30825,0.04K,-0.12%,72.0,241.47510137875
"Dec 06, 2018",31005,31039,31196,30974,10.55K,0.26%,35.0,188.22218634984162
"Dec 07, 2018",31440,31011,31480,30941,11.24K,1.40%,669.0,976.6927054717053
"Dec 10, 2018",31895,31459,31966,31420,14.09K,1.45%,521.0,990.2542966263536
"Dec 11, 2018",31812,31850,31850,31618,10.53K,-0.26%,,195.4234929470549
"Dec 12, 2018",31626,31749,31749,31582,7.57K,-0.58%,,44.232664175797254
"Dec 13, 2018",31414,31550,31600,31337,8.43K,-0.67%,,127.64623288764051
"Dec 14, 2018",31437,31440,31514,31384,6.75K,0.07%,,127.21953861840302
"Dec 17, 2018",31501,31369,31530,31291,5.97K,0.20%,,372.60397558403196
"Dec 18, 2018",31075,31589,31650,31041,10.18K,-1.35%,,95.66705325214936
"Dec 19, 2018",31139,31167,31500,30967,8.76K,0.21%,,507.96044176058416
"Dec 20, 2018",31219,31027,31250,30914,12.97K,0.26%,,531.3150029113021
"Dec 21, 2018",31126,31115,31292,31075,9.91K,-0.30%,,228.35613837490018
"Dec 24, 2018",31375,31300,31395,31177,8.57K,0.80%,,294.3844821503044
"Dec 26, 2018",31463,31430,31643,31400,10.03K,0.28%,,276.4875477706992
"Dec 27, 2018",31611,31499,31647,31426,8.01K,0.47%,,334.3009928085012
"Dec 28, 2018",31506,31576,31629,31462,6.64K,-0.33%,,97.23355158603954
"Dec 31, 2018",31489,31452,31583,31284,6.60K,-0.05%,,337.95930827259866
"Jan 01, 2019",31560,31550,31651,31410,0.68K,0.23%,,252.1509073543457
"Jan 02, 2019",31934,31530,32500,31510,0.40K,1.19%,,1407.321485242777
"Jan 03, 2019",31939,32000,32045,31836,0.17K,0.02%,,148.67618419399514
"Jan 04, 2019",31679,32686,32686,31460,0.06K,-0.81%,,227.53445645263855
"Jan 07, 2019",31652,31536,31748,31456,12.80K,-0.09%,,409.8194303153614
"Jan 08, 2019",31736,31616,31758,31572,10.84K,0.27%,,306.9661725579645
"Jan 09, 2019",31993,31685,32016,31639,14.63K,0.81%,,689.2181484876272
"Jan 10, 2019",31878,32090,32119,31855,13.33K,-0.36%,,52.19061371841235
"Jan 11, 2019",31924,31907,32065,31888,10.56K,0.14%,,194.19982438534862
"Jan 14, 2019",32130,32050,32194,31963,13.65K,0.65%,,312.2069267590668
"Jan 15, 2019",32169,32066,32273,32064,12.59K,0.12%,,312.68441242515115
"Jan 16, 2019",32272,32148,32299,32103,11.36K,0.32%,,321.0318038812584
"Jan 17, 2019",32253,32300,32363,32190,12.92K,-0.06%,,126.3385834109977
"Jan 18, 2019",32089,32295,32305,32052,12.63K,-0.51%,,47.29205665793053
"Jan 21, 2019",32039,32052,32184,31985,8.90K,-0.16%,,186.335969985932
"Jan 22, 2019",32154,32030,32189,31949,12.04K,0.36%,,365.53995430217043
"Jan 23, 2019",32135,32105,32199,32060,10.91K,-0.06%,,169.32517155333701
"Jan 24, 2019",32016,32100,32147,31986,9.55K,-0.37%,,77.15100356406037
"Jan 25, 2019",32339,32057,32367,32019,13.03K,1.01%,,633.4779349761084
"Jan 28, 2019",32536,32383,32570,32383,10.90K,0.61%,,340.8835191304097
"Jan 29, 2019",32891,32570,32967,32530,13.05K,1.09%,,762.8495849984612
"Jan 30, 2019",32903,32900,32975,32807,9.82K,0.04%,,171.49160240192575
"Jan 31, 2019",33100,32937,33245,32903,10.39K,0.60%,,507.04765522900567
"Feb 01, 2019",33405,33119,33500,32997,3.12K,0.92%,,795.2194744976805
"Feb 04, 2019",33455,34247,34400,33285,0.42K,0.15%,,328.6947573982252
"Feb 05, 2019",33381,33549,33549,33250,0.13K,-0.22%,,132.17801503759256
"Feb 06, 2019",33222,33199,33378,33175,7.27K,-0.48%,,226.28759608138355
"Feb 07, 2019",33056,33169,33200,32951,10.60K,-0.50%,,136.79345088161062
"Feb 08, 2019",33125,33000,33142,32910,9.43K,0.21%,,358.51564873898315
"Feb 11, 2019",32931,33060,33082,32811,11.15K,-0.59%,,142.99113102313274
"Feb 12, 2019",32747,32915,32945,32721,9.36K,-0.56%,,56.17798967024282
"Feb 13, 2019",32909,32727,33028,32680,10.85K,0.49%,,532.4385556915513
"Feb 14, 2019",32970,32862,33000,32765,11.45K,0.19%,,344.47031893789244
"Feb 15, 2019",33263,32992,33280,32992,11.79K,0.89%,,561.3656644034927
"Feb 18, 2019",33463,33333,33484,33333,8.88K,0.60%,,281.58890588906064
"Feb 19, 2019",33753,33499,33797,33434,11.91K,0.87%,,620.4634503798516
"Feb 20, 2019",33719,33800,33877,33680,9.09K,-0.10%,,116.22811757720045
"Feb 21, 2019",33302,33630,33658,33265,14.50K,-1.24%,,65.43712610852526
"Feb 22, 2019",33369,33302,33413,33190,9.55K,0.20%,,291.20268153057987
"Feb 25, 2019",33159,33385,33398,33130,8.44K,-0.63%,,42.23459100512992
"Feb 26, 2019",33228,33225,33450,33205,9.01K,0.21%,,248.16970335792573
"Feb 27, 2019",33171,33300,33466,33138,9.40K,-0.17%,,199.3266340756818
"Feb 28, 2019",32902,33189,33260,32877,8.13K,-0.81%,,96.29123703500956
"Mar 01, 2019",32533,32857,32953,31915,1.56K,-1.12%,,734.0997650007847
"Mar 04, 2019",32505,32394,32601,32315,0.15K,-0.09%,,398.68157202537265
"Mar 05, 2019",32015,33435,33440,32000,0.24K,-1.51%,,20.67500000000291
"Mar 06, 2019",31954,32136,32300,31885,16.71K,-0.19%,,233.89807119335086
"Mar 07, 2019",31946,31959,31980,31800,14.75K,-0.03%,,167.8264150943396
"Mar 08, 2019",32174,31980,32235,31955,16.62K,0.71%,,475.9189485213573
"Mar 11, 2019",31915,32214,32214,31897,12.41K,-0.80%,,18.17888829670483
"Mar 12, 2019",32015,31906,32056,31885,12.06K,0.31%,,280.6971930374784
"Mar 13, 2019",32225,32088,32330,32088,13.82K,0.66%,,380.0332211418609
"Mar 14, 2019",31832,32274,32274,31813,17.21K,-1.22%,,19.275327696224853
"Mar 15, 2019",31853,31895,31960,31768,13.20K,0.07%,,150.51372450264537
"Mar 18, 2019",31685,31800,31815,31590,12.27K,-0.53%,,110.67663817663923
"Mar 19, 2019",31985,31750,32017,31691,14.67K,0.95%,,564.0243286737567
"Mar 20, 2019",31740,31961,31961,31704,14.38K,-0.77%,,36.29182437547206
"Mar 21, 2019",31842,31899,32064,31806,9.41K,0.32%,,201.2920203735157
"Mar 22, 2019",32155,31869,32184,31748,19.21K,0.98%,,727.5893914577283
"Mar 25, 2019",32223,32199,32245,32083,14.02K,0.21%,,186.70691643549438
"Mar 26, 2019",32113,32200,32200,32031,13.04K,-0.34%,,82.43264337672736
"Mar 27, 2019",32019,32101,32182,32000,17.72K,-0.29%,,100.1080624999995
"Mar 28, 2019",31624,31993,32030,31591,15.06K,-1.23%,,70.45857997530766
"Mar 29, 2019",31703,31600,31788,31510,11.36K,0.25%,,382.7027610282457
"Apr 01, 2019",31570,31588,31730,31542,4.52K,-0.42%,,170.16688859298662
"Apr 02, 2019",31535,31550,31590,31359,0.39K,-0.11%,,217.2964699129443
"Apr 03, 2019",31450,31499,31607,31318,0.17K,-0.27%,,241.2180854460676
"Apr 04, 2019",31503,31499,31549,31350,0.07K,0.17%,,203.9711961722496
"Apr 05, 2019",31566,31535,31620,31400,0.06K,0.20%,,252.1630573248404
"Apr 08, 2019",32076,31795,32155,31795,12.90K,1.62%,,644.1816323321291
"Apr 09, 2019",32098,32131,32171,32020,11.01K,0.07%,,118.36783260462109
"Apr 10, 2019",32174,32070,32197,31968,11.74K,0.24%,,334.47566316316437
"Apr 11, 2019",31663,32148,32148,31638,17.11K,-1.59%,,25.40299639673685
"Apr 12, 2019",31760,31721,31871,31705,11.01K,0.31%,,205.2879671976043
"Apr 15, 2019",31760,31710,31791,31570,8.54K,0.00%,,272.33006018371816
"Apr 16, 2019",31474,31700,31768,31453,14.48K,-0.90%,,89.21031380154456
"Apr 17, 2019",31410,31500,31525,31393,5.65K,-0.20%,,42.07148090338524
"Apr 18, 2019",31403,31474,31544,31355,9.87K,-0.02%,,118.28933184500055
"Apr 22, 2019",31531,31497,31697,31497,9.89K,0.41%,,234.21589357716584
"Apr 23, 2019",31525,31490,31566,31401,9.92K,-0.02%,,200.65157160599847
"Apr 24, 2019",31759,31480,31799,31450,12.64K,0.74%,,631.4289666136721
"Apr 25, 2019",31843,31750,31926,31641,11.64K,0.26%,,379.81947473215035
"Apr 26, 2019",31868,31851,31934,31705,9.67K,0.08%,,247.1773221889307
"Apr 30, 2019",31625,31800,31824,31597,6.44K,-0.76%,,52.201158337815286
"May 01, 2019",31563,31604,31657,31503,1.55K,-0.20%,,113.29330539948569
"May 02, 2019",31203,31420,31425,31160,0.48K,-1.14%,,48.36569319640694
"May 03, 2019",31341,31250,31500,31163,0.08K,0.44%,,429.9249109520897
